bv_id,tyc2_id,x,y,dist,label,uid,date,n_view,link
BV1fW1KBFEdh,TYC 2761-595-1,0.75564814,-0.24485326,1.0,15,3546873786796092.0,2025-10-31,8172.0,//player.bilibili.com/player.html?isOutside=true&aid=115467729509845&bvid=BV1fW1KBFEdh&cid=33555613545&p=1
BV1wZsbzeE5F,TYC 1644-2320-1,0.55265903,-0.7492342,1.0,9,3494359215376534.0,2025-10-22,1101.0,//player.bilibili.com/player.html?isOutside=true&aid=115417196658759&bvid=BV1wZsbzeE5F&cid=33298056063&p=1
BV1pcsazuEjm,TYC 3195-1021-1,0.57770157,-0.4141791,1.0,63,2037893494.0,2025-10-22,2375.0,//player.bilibili.com/player.html?isOutside=true&aid=115418001841765&bvid=BV1pcsazuEjm&cid=33303625931&p=1
BV15WHLzBE3R,TYC 2687-2651-1,0.56864524,-0.64475495,1.0,16,504643796.0,2025-10-03,552.0,//player.bilibili.com/player.html?isOutside=true&aid=115310325668696&bvid=BV15WHLzBE3R&cid=32817155148&p=1
BV18XnJz3ECq,TYC 2165-436-1,0.56660485,-0.6931281,1.0,68,1009382753.0,2025-09-27,2073.0,//player.bilibili.com/player.html?isOutside=true&aid=115276670637407&bvid=BV18XnJz3ECq&cid=32678218961&p=1
BV1YoxLzSEhQ,TYC 3222-1935-1,0.70507586,-0.25108021,1.0,54,1098229102.0,2025-10-06,16016.0,//player.bilibili.com/player.html?isOutside=true&aid=115325391605717&bvid=BV1YoxLzSEhQ&cid=32870961007&p=1
BV1o1HnzZEen,TYC 1621-2189-1,0.47690284,-0.82582307,0.9354187,43,32720745.0,2025-10-02,1256.0,//player.bilibili.com/player.html?isOutside=true&aid=115298145471057&bvid=BV1o1HnzZEen&cid=32768593305&p=1
BV17PstzDEYX,TYC 5245-1215-1,0.96459687,-0.25154823,1.0,48,493851957.0,2025-10-22,1131.0,//player.bilibili.com/player.html?isOutside=true&aid=115416089237316&bvid=BV17PstzDEYX&cid=33290391250&p=1
BV1eGxfzzEym,TYC 6340-1866-1,0.52586424,-0.76514953,1.0,93,347775016.0,2025-10-08,1366.0,//player.bilibili.com/player.html?isOutside=true&aid=115337034990843&bvid=BV1eGxfzzEym&cid=32914604622&p=1
BV1DrnBzhEqf,TYC 579-1834-1,0.9682487,-0.24193335,1.0,46,524148806.0,2025-09-29,224.0,//player.bilibili.com/player.html?isOutside=true&aid=115286720186702&bvid=BV1DrnBzhEqf&cid=32717473635&p=1
BV1xQnBz9E3x,TYC 7973-1199-1,0.54512346,-0.5154919,1.0,63,3493124687006642.0,2025-09-30,1917.0,//player.bilibili.com/player.html?isOutside=true&aid=115288481729184&bvid=BV1xQnBz9E3x&cid=32772784232&p=1
BV14JxEzCEAp,TYC 2182-750-1,0.5594573,-0.6632958,1.0,83,493704057.0,2025-10-06,557.0,//player.bilibili.com/player.html?isOutside=true&aid=115328126490487&bvid=BV14JxEzCEAp&cid=32884197934&p=1
BV1LRW2zvE5j,TYC 1617-764-1,0.4931116,-0.8249804,1.0,61,3493124687006642.0,2025-10-20,507.0,//player.bilibili.com/player.html?isOutside=true&aid=115407432195843&bvid=BV1LRW2zvE5j&cid=33250217104&p=1
BV1fNsTzbEp2,TYC 2159-2070-1,0.52875423,-0.7410629,1.0,3,474601742.0,2025-10-20,689.0,//player.bilibili.com/player.html?isOutside=true&aid=115403372106470&bvid=BV1fNsTzbEp2&cid=33225703822&p=1
BV1qhxUz2ET9,TYC 5820-1291-1,0.962999,-0.23489374,1.0,80,593843788.0,2025-10-21,3868.0,//player.bilibili.com/player.html?isOutside=true&aid=115330508725689&bvid=BV1qhxUz2ET9&cid=32784517586&p=1
BV1yNWXzAEJa,TYC 7465-1445-1,0.56140184,-0.6129447,1.0,47,3546603843487946.0,2025-10-21,1487.0,//player.bilibili.com/player.html?isOutside=true&aid=115410418533434&bvid=BV1yNWXzAEJa&cid=33310244936&p=1
BV1gnWdzSEG4,TYC 2686-1753-1,0.5518148,-0.6636586,1.0,4,3546753594820775.0,2025-10-21,14303.0,//player.bilibili.com/player.html?isOutside=true&aid=115412566024097&bvid=BV1gnWdzSEG4&cid=33276036347&p=1
BV1qxWRz4E1p,TYC 2155-2337-1,0.51104546,-0.7613992,1.0,9,3546937437457099.0,2025-10-21,4157.0,//player.bilibili.com/player.html?isOutside=true&aid=115411290951749&bvid=BV1qxWRz4E1p&cid=25887906137&p=1
BV1bcW1zXEQt,TYC 2159-2069-1,0.51063824,-0.7516824,1.0,59,671367010.0,2025-10-20,111281.0,//player.bilibili.com/player.html?isOutside=true&aid=115406727613052&bvid=BV1bcW1zXEQt&cid=33245627319&p=1
BV1kys3zEE8B,TYC 1160-1745-1,0.9605199,-0.22612596,1.0,4,3494359215376534.0,2025-10-20,813.0,//player.bilibili.com/player.html?isOutside=true&aid=115404949160448&bvid=BV1kys3zEE8B&cid=33233178569&p=1
BV1UV4wziEjD,TYC 7456-163-1,0.5513884,-0.6491911,1.0,58,36395571.0,2025-10-11,983.0,//player.bilibili.com/player.html?isOutside=true&aid=115356194706862&bvid=BV1UV4wziEjD&cid=32999278590&p=1
BV19VW2zYEBb,TYC 2695-4139-1,0.5500369,-0.6206931,1.0,31,11116918.0,2025-10-20,4497.0,//player.bilibili.com/player.html?isOutside=true&aid=115406006193317&bvid=BV19VW2zYEBb&cid=33240777850&p=1
BV1YSsNzDERc,TYC 2695-4138-1,0.55001915,-0.6153986,1.0,16,13992132.0,2025-10-19,556.0,//player.bilibili.com/player.html?isOutside=true&aid=115402113811600&bvid=BV1YSsNzDERc&cid=33222427391&p=1
BV1xMsKzBEsA,TYC 576-1918-1,0.9746051,-0.22192973,1.0,4,3546765135448170.0,2025-10-19,43.0,//player.bilibili.com/player.html?isOutside=true&aid=115402180925988&bvid=BV1xMsKzBEsA&cid=33222692732&p=1
BV1H5sKzeEyo,TYC 6919-1471-1,0.520146,-0.706666,1.0,94,91108419.0,2025-10-19,399.0,//player.bilibili.com/player.html?isOutside=true&aid=115401845375082&bvid=BV1H5sKzeEyo&cid=33221248718&p=1
BV1zisAzQE3A,TYC 1625-1053-1,0.48796618,-0.803133,1.0,59,131402988.0,2025-10-19,392.0,//player.bilibili.com/player.html?isOutside=true&aid=115399479795298&bvid=BV1zisAzQE3A&cid=33206766249&p=1
BV13bswzBE72,TYC 7964-689-1,0.53549695,-0.57936025,1.0,2,1396301644.0,2025-10-19,661.0,//player.bilibili.com/player.html?isOutside=true&aid=115399949549696&bvid=BV13bswzBE72&cid=33209649811&p=1
BV1J2WxznEea,TYC 7460-1609-1,0.5372852,-0.63857853,1.0,41,523560808.0,2025-10-18,9150.0,//player.bilibili.com/player.html?isOutside=true&aid=115394882898254&bvid=BV1J2WxznEea&cid=33204863094&p=1
BV1tvWtziEKt,TYC 3181-836-1,0.5483513,-0.46656042,1.0,70,50775648.0,2025-10-19,368.0,//player.bilibili.com/player.html?isOutside=true&aid=115396040523936&bvid=BV1tvWtziEKt&cid=33192019421&p=1
BV1VfWZzaEnc,TYC 7968-239-1,0.52789795,-0.5580286,1.0,5,1269073406.0,2025-10-19,2061.0,//player.bilibili.com/player.html?isOutside=true&aid=115398020235870&bvid=BV1VfWZzaEnc&cid=33198639330&p=1
BV1aVWhzEE26,TYC 1079-3514-1,0.47598064,-0.8568727,1.0,89,1783946889.0,2025-10-18,428.0,//player.bilibili.com/player.html?isOutside=true&aid=115396191590158&bvid=BV1aVWhzEE26&cid=33193135171&p=1
BV1aaxyz8EXD,TYC 1161-1794-1,0.96224296,-0.21319073,1.0,21,26069934.0,2025-10-09,416.0,//player.bilibili.com/player.html?isOutside=true&aid=115343594946920&bvid=BV1aaxyz8EXD&cid=32942588589&p=1
BV1JjsteAE2u,TYC 2685-1920-1,0.5233488,-0.6859413,1.0,90,355156672.0,2024-08-27,583.0,//player.bilibili.com/player.html?isOutside=true&aid=113034378871140&bvid=BV1JjsteAE2u&cid=25607274972&p=1
BV12xYqe4Eba,TYC 7992-784-1,0.56874573,-0.4232638,1.0,18,363726013.0,2024-08-12,220.0,//player.bilibili.com/player.html?isOutside=true&aid=112949301743536&bvid=BV12xYqe4Eba&cid=500001647209967&p=1
BV1jQsgeLEgR,TYC 2159-2068-1,0.50183797,-0.74938166,1.0,90,223928340.0,2024-08-28,1170.0,//player.bilibili.com/player.html?isOutside=true&aid=113040787769386&bvid=BV1jQsgeLEgR&cid=25631720624&p=1
BV1SisteJEfd,TYC 3171-2186-1,0.52562284,-0.538878,1.0,75,295514534.0,2024-08-27,1371.0,//player.bilibili.com/player.html?isOutside=true&aid=113034093790387&bvid=BV1SisteJEfd&cid=25605769765&p=1
